                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    118,                0.75397,                0.43953,                0.87339,                0.96473,                 0.9541,                0.99023,                0.79859,                 0.6518,                0.38248,                0.83323,              0.0012344,              0.0012344,              0.0012344
                    119,                0.78543,                0.45199,                0.86665,                0.97436,                0.95747,                0.99132,                 0.8141,                0.63463,                0.37611,                0.83206,              0.0012278,              0.0012278,              0.0012278
                    120,                0.80481,                0.46431,                0.88572,                0.96796,                0.96318,                0.99149,                0.81769,                0.63011,                0.37162,                0.83237,              0.0012212,              0.0012212,              0.0012212
                    121,                 0.6906,                0.41402,                0.87493,                0.96286,                0.96899,                0.99133,                 0.8158,                0.63936,                0.37271,                0.83392,              0.0012146,              0.0012146,              0.0012146
                    122,                0.72211,                0.41289,                0.83283,                0.96924,                0.96899,                0.99193,                0.81728,                0.64927,                0.37538,                0.83733,               0.001208,               0.001208,               0.001208
                    123,                 0.7374,                0.43499,                0.84211,                0.97016,                0.97287,                0.99236,                0.81992,                0.64007,                0.37251,                0.83443,              0.0012014,              0.0012014,              0.0012014
                    124,                0.71702,                0.41885,                0.86214,                0.97262,                0.96384,                0.99173,                0.82783,                0.62022,                0.36757,                0.83005,              0.0011948,              0.0011948,              0.0011948
                    125,                0.69289,                0.40272,                  0.868,                0.96583,                0.97674,                0.99152,                0.82664,                0.61728,                0.36373,                0.82886,              0.0011882,              0.0011882,              0.0011882
                    126,                0.75955,                0.43322,                0.84486,                0.96885,                0.96124,                0.99105,                0.81921,                0.63171,                0.37019,                0.83098,              0.0011816,              0.0011816,              0.0011816
                    127,                0.88587,                0.48186,                0.88638,                0.96947,                0.96318,                0.99109,                0.81752,                 0.6389,                0.37344,                0.83251,               0.001175,               0.001175,               0.001175
                    128,                0.72227,                0.42015,                0.84758,                0.96885,                0.96705,                0.99123,                0.82044,                 0.6315,                0.37236,                0.83181,              0.0011684,              0.0011684,              0.0011684
                    129,                0.81321,                0.44489,                0.85397,                0.96712,                0.96896,                 0.9911,                0.82263,                0.62569,                0.37278,                0.82927,              0.0011618,              0.0011618,              0.0011618
                    130,                0.79416,                 0.4434,                0.85273,                0.96339,                0.96907,                0.99109,                0.82355,                0.62188,                0.36961,                0.82714,              0.0011552,              0.0011552,              0.0011552
                    131,                0.74387,                0.42978,                0.85498,                0.96029,                0.96318,                 0.9909,                0.82548,                0.61216,                0.36376,                0.82438,              0.0011486,              0.0011486,              0.0011486
                    132,                0.71429,                0.42403,                0.84671,                0.96126,                 0.9617,                0.99086,                0.82503,                0.60262,                 0.3572,                0.82251,               0.001142,               0.001142,               0.001142
                    133,                0.73245,                0.41779,                0.84453,                 0.9514,                0.96124,                0.98989,                0.82399,                0.60321,                 0.3607,                 0.8228,              0.0011354,              0.0011354,              0.0011354
                    134,                0.66093,                0.38945,                0.84198,                0.95591,                 0.9663,                0.98996,                0.82702,                 0.5974,                0.36266,                0.82281,              0.0011288,              0.0011288,              0.0011288
                    135,                0.74921,                0.42472,                 0.8223,                 0.9601,                0.96899,                 0.9909,                0.82733,                0.58614,                0.35682,                0.82092,              0.0011222,              0.0011222,              0.0011222
                    136,                0.71818,                0.43289,                0.84533,                 0.9632,                0.96385,                0.99148,                 0.8253,                0.59124,                0.35616,                0.82166,              0.0011156,              0.0011156,              0.0011156
                    137,                0.74042,                0.42045,                0.84611,                0.97161,                0.96124,                0.99116,                0.82418,                0.59484,                0.35104,                0.82124,               0.001109,               0.001109,               0.001109
                    138,                0.67482,                0.40048,                0.82702,                0.96878,                 0.9593,                0.99173,                 0.8238,                0.58966,                0.35396,                0.81968,              0.0011024,              0.0011024,              0.0011024
                    139,                0.69759,                0.39726,                0.83776,                0.97058,                0.95895,                0.99168,                0.82499,                0.58296,                0.35289,                0.82017,              0.0010958,              0.0010958,              0.0010958
                    140,                0.72809,                0.43207,                0.85458,                0.97602,                 0.9593,                0.99216,                0.82399,                0.58185,                 0.3544,                0.82006,              0.0010892,              0.0010892,              0.0010892
                    141,                0.68497,                0.40129,                0.83838,                0.97319,                0.96318,                0.99226,                0.82672,                   0.58,                0.35436,                0.81986,              0.0010826,              0.0010826,              0.0010826
                    142,                 0.6425,                0.39194,                0.83908,                0.97385,                0.96705,                0.99197,                0.82544,                0.58629,                0.35438,                0.82063,               0.001076,               0.001076,               0.001076
                    143,                0.66511,                0.38415,                0.83248,                 0.9771,                0.96124,                0.99224,                0.82686,                0.58732,                0.35579,                0.82154,              0.0010694,              0.0010694,              0.0010694
                    144,                0.67801,                0.40258,                0.84503,                0.97445,                  0.961,                0.99227,                0.82935,                0.57448,                0.35306,                0.82006,              0.0010628,              0.0010628,              0.0010628
                    145,                0.70684,                0.41488,                0.83246,                0.97592,                0.96124,                 0.9925,                0.83692,                0.56783,                 0.3476,                0.81936,              0.0010562,              0.0010562,              0.0010562
                    146,                0.66588,                0.40835,                0.83199,                0.96903,                0.97019,                0.99237,                0.84106,                0.56197,                0.34739,                0.81894,              0.0010496,              0.0010496,              0.0010496
                    147,                0.66354,                0.39858,                0.83667,                0.97265,                0.96705,                0.99217,                0.84743,                0.55892,                0.34536,                0.81805,               0.001043,               0.001043,               0.001043
                    148,                0.70428,                0.40823,                0.85599,                0.97512,                0.96124,                0.99218,                  0.849,                0.55809,                0.34786,                0.81651,              0.0010364,              0.0010364,              0.0010364
